Date,Close,High,Low,Open,Volume,ETF_Name,Ticker
,QCLN,QCLN,QCLN,QCLN,QCLN,,
2024-04-25,31.158681869506836,31.267628917286235,30.40596265109783,30.802131157913216,134700,First_Trust_Clean_Edge_Green,QCLN
2024-04-26,31.713321685791016,31.990638713665,31.19830164962423,31.228014997930973,174700,First_Trust_Clean_Edge_Green,QCLN
2024-04-29,32.921634674072266,33.02067538005129,32.34718800054382,32.34718800054382,114400,First_Trust_Clean_Edge_Green,QCLN
2024-04-30,32.03025817871094,32.60470116323213,32.01044927880864,32.307575221020386,88600,First_Trust_Clean_Edge_Green,QCLN
2024-05-01,31.970829010009766,33.06029575153227,31.7925527028181,31.990637908382286,152100,First_Trust_Clean_Edge_Green,QCLN
2024-05-02,32.97115707397461,33.02067743003844,31.72322294346453,32.3967103647834,306500,First_Trust_Clean_Edge_Green,QCLN
2024-05-03,34.06061935424805,34.45678975133683,33.694164192745525,33.87244049361938,291900,First_Trust_Clean_Edge_Green,QCLN
2024-05-06,34.70439529418945,34.70439529418945,34.33793635463993,34.33793635463993,162800,First_Trust_Clean_Edge_Green,QCLN
2024-05-07,34.288414001464844,34.882669562284136,34.27851144229017,34.61525512663956,176700,First_Trust_Clean_Edge_Green,QCLN
2024-05-08,34.090328216552734,34.110137112715314,33.55550313280555,33.59511714697008,75700,First_Trust_Clean_Edge_Green,QCLN
2024-05-09,34.34783935546875,34.39735970573805,33.67435201295677,33.90214864672398,115200,First_Trust_Clean_Edge_Green,QCLN
2024-05-10,33.65454864501953,34.66477982471926,33.62483718560991,34.5855442287454,224400,First_Trust_Clean_Edge_Green,QCLN
2024-05-13,34.238895416259766,34.744012857932134,33.89224915484609,33.89224915484609,214100,First_Trust_Clean_Edge_Green,QCLN
2024-05-14,35.189701080322266,35.67500964172166,34.902481501291014,35.13027816377284,313600,First_Trust_Clean_Edge_Green,QCLN
2024-05-15,35.001522064208984,35.85328579393407,34.65487579195389,35.85328579393407,118400,First_Trust_Clean_Edge_Green,QCLN
2024-05-16,34.892574310302734,35.13027730517392,34.79353359970028,34.961903563356636,92200,First_Trust_Clean_Edge_Green,QCLN
2024-05-17,34.872764587402344,35.14017903349461,34.62515903859405,34.85295569011838,130100,First_Trust_Clean_Edge_Green,QCLN
2024-05-20,34.8133430480957,34.8529570660667,34.48650189724829,34.78362781191622,165000,First_Trust_Clean_Edge_Green,QCLN
2024-05-21,35.189701080322266,35.20950997855908,34.50631109287677,34.50631109287677,91400,First_Trust_Clean_Edge_Green,QCLN
2024-05-22,36.92293930053711,37.200260092397755,35.0807533594498,35.0807533594498,301400,First_Trust_Clean_Edge_Green,QCLN
2024-05-23,35.86318588256836,36.90312840583136,35.665100692860946,36.80408770005803,205600,First_Trust_Clean_Edge_Green,QCLN
2024-05-24,37.418148040771484,37.43795693737458,36.10088853103148,36.10088853103148,147500,First_Trust_Clean_Edge_Green,QCLN
2024-05-28,37.51719284057617,37.92326577896673,37.269587298187766,37.606330986962426,262300,First_Trust_Clean_Edge_Green,QCLN
2024-05-29,36.794189453125,37.18045354033726,36.65552715936569,36.65552715936569,485100,First_Trust_Clean_Edge_Green,QCLN
2024-05-30,37.527099609375,37.62614410433684,36.85361215627917,36.93284775224864,177200,First_Trust_Clean_Edge_Green,QCLN
2024-05-31,37.418148040771484,38.07182651603089,36.47725001016893,37.636042125244856,96800,First_Trust_Clean_Edge_Green,QCLN
2024-06-03,37.26958465576172,38.052015242832326,37.02197913092863,37.804409717999235,145500,First_Trust_Clean_Edge_Green,QCLN
2024-06-04,36.69514465332031,37.26959138821938,36.58619759820765,37.002176919714074,102600,First_Trust_Clean_Edge_Green,QCLN
2024-06-05,37.53700256347656,37.636043271347354,36.71495033113783,37.09131182173633,138200,First_Trust_Clean_Edge_Green,QCLN
2024-06-06,37.249778747558594,37.487477954690256,36.90312871809716,37.210160953649726,104900,First_Trust_Clean_Edge_Green,QCLN
2024-06-07,36.447540283203125,37.13093409570451,36.17022324518012,36.596105141093325,219500,First_Trust_Clean_Edge_Green,QCLN
2024-06-10,37.16064453125,37.348823404981786,36.16031590911915,36.180124808169,94800,First_Trust_Clean_Edge_Green,QCLN
2024-06-11,37.25968551635742,37.34882367364234,36.48715733866222,36.922941786410064,94600,First_Trust_Clean_Edge_Green,QCLN
2024-06-12,37.8143196105957,38.794835465366745,37.67566110815623,38.180774763923004,250700,First_Trust_Clean_Edge_Green,QCLN
2024-06-13,37.12102508544922,38.071829528671245,36.952655118240756,37.814321408775655,102300,First_Trust_Clean_Edge_Green,QCLN
2024-06-14,35.833473205566406,36.86351313442131,35.81366430945451,36.64561905535107,202100,First_Trust_Clean_Edge_Green,QCLN
2024-06-17,35.496726989746094,35.73442994793098,34.95199560918283,35.665096927416776,138600,First_Trust_Clean_Edge_Green,QCLN
2024-06-18,35.43730545043945,35.52644360042979,35.15008588105803,35.199606235905804,272000,First_Trust_Clean_Edge_Green,QCLN
2024-06-20,34.38745880126953,34.86286098741455,34.298320655232295,34.81334063476291,178200,First_Trust_Clean_Edge_Green,QCLN
2024-06-21,34.1695671081543,34.49640825922783,33.94177044747925,34.33793707459024,271900,First_Trust_Clean_Edge_Green,QCLN
2024-06-24,34.29832077026367,34.674678474206935,34.06061778731358,34.16956483040901,100100,First_Trust_Clean_Edge_Green,QCLN
2024-06-25,33.97147750854492,34.21908303525175,33.82291645941713,34.16956268554249,70200,First_Trust_Clean_Edge_Green,QCLN
2024-06-26,34.625160217285156,34.88267211258194,34.34784320219105,34.41717245596458,148000,First_Trust_Clean_Edge_Green,QCLN
2024-06-27,34.88099670410156,34.930769055059,34.24390149811766,34.383265599753265,68100,First_Trust_Clean_Edge_Green,QCLN
2024-06-28,33.85566711425781,35.099994840849554,33.63666801660073,35.050222491263256,123000,First_Trust_Clean_Edge_Green,QCLN
2024-07-01,33.716304779052734,34.13440089168559,33.6864421272172,33.93530768554552,181500,First_Trust_Clean_Edge_Green,QCLN
2024-07-02,34.46289825439453,34.661991442050166,33.945257485444564,33.945257485444564,84600,First_Trust_Clean_Edge_Green,QCLN
2024-07-03,35.51809310913086,35.737096017601196,34.68190467370159,34.72172407476658,457000,First_Trust_Clean_Edge_Green,QCLN
2024-07-05,35.40858840942383,35.72713599397218,35.139813172951136,35.63754424848129,145000,First_Trust_Clean_Edge_Green,QCLN
2024-07-08,36.12532043457031,36.165139829848506,35.61763263823967,35.61763263823967,80700,First_Trust_Clean_Edge_Green,QCLN
2024-07-09,35.94614028930664,36.23482523578612,35.55791064277964,35.88641119084599,151100,First_Trust_Clean_Edge_Green,QCLN
2024-07-10,36.78232955932617,36.8420548618264,35.94614114784008,36.13527760140245,207100,First_Trust_Clean_Edge_Green,QCLN
2024-07-11,37.399513244628906,38.046565170995734,36.97146420978072,37.459242341603115,129500,First_Trust_Clean_Edge_Green,QCLN
2024-07-12,38.79316329956055,39.071891501477324,37.58865114687672,37.58865114687672,176100,First_Trust_Clean_Edge_Green,QCLN
2024-07-15,37.688201904296875,38.225752437968424,37.57870044772817,38.225752437968424,173200,First_Trust_Clean_Edge_Green,QCLN
2024-07-16,38.9822998046875,39.02211920426934,37.6682899975824,37.996790550665196,137000,First_Trust_Clean_Edge_Green,QCLN
2024-07-17,37.55878829956055,38.912617497313036,37.439333898990306,38.25561259809632,142400,First_Trust_Clean_Edge_Green,QCLN
2024-07-18,36.961509704589844,38.27551940366841,36.71264417374335,37.79769804012953,217900,First_Trust_Clean_Edge_Green,QCLN
2024-07-19,36.17509460449219,36.6927353770567,36.015820812732855,36.6927353770567,74500,First_Trust_Clean_Edge_Green,QCLN
2024-07-22,36.99137496948242,37.04114731969473,36.4040521232486,36.901783220145504,83200,First_Trust_Clean_Edge_Green,QCLN
2024-07-23,36.812191009521484,37.09091920512725,36.533462813915726,36.76241865993286,68200,First_Trust_Clean_Edge_Green,QCLN
2024-07-24,35.67736053466797,36.772367286390015,35.64749788790408,36.224863910528995,129100,First_Trust_Clean_Edge_Green,QCLN
2024-07-25,35.53799819946289,36.55337001057744,35.338905017352594,35.5180885015132,68500,First_Trust_Clean_Edge_Green,QCLN
2024-07-26,36.155181884765625,36.47372944166684,35.78686198410855,36.155181884765625,100100,First_Trust_Clean_Edge_Green,QCLN
2024-07-29,36.27463912963867,36.7823269491861,35.98595799413659,36.473732317747725,98200,First_Trust_Clean_Edge_Green,QCLN
2024-07-30,35.34885787963867,36.33436704006872,35.17963114356748,36.244775298211444,136000,First_Trust_Clean_Edge_Green,QCLN
