Date,Close,High,Low,Open,Volume,Index_Name,Ticker,Country,Region,Continent,Currency,Latitude,Longitude,Year,Quarter,Month,Week,Day,Day_of_Week,Day_Name,Daily_Return,Cumulative_Return,MA_50,MA_200,Volatility_10D,Volatility_30D,Normalized_Value
2021-10-22,60524.55078125,60699.87109375,59534.859375,59535.078125,0.0,JSE_Top_40,^J200.JO,South Africa,Africa,Africa,ZAR,-26.2041,28.0473,2021,4,10,42,22,4,Friday,1.6619994252338177,19.841316432723623,59359.848515625,60156.49115234375,0.9573043521733126,1.092231274900846,119.84131643272362
2021-10-25,60445.78125,60927.19921875,60381.328125,60524.55078125,0.0,JSE_Top_40,^J200.JO,South Africa,Africa,Africa,ZAR,-26.2041,28.0473,2021,4,10,43,25,0,Monday,-0.1301447598259564,19.68534923927998,59303.383359375,60189.79880859375,0.8786465753168095,1.0931273675279427,119.68534923927999
2021-10-26,61024.55078125,61190.91015625,60340.078125,60445.78125,0.0,JSE_Top_40,^J200.JO,South Africa,Africa,Africa,ZAR,-26.2041,28.0473,2021,4,10,43,26,1,Tuesday,0.9575019451833144,20.831338786345512,59271.73375,60226.68140625,0.9013823663600186,1.101005761894156,120.83133878634551
2021-10-27,60874.44140625,61032.7890625,60506.21875,61024.55078125,0.0,JSE_Top_40,^J200.JO,South Africa,Africa,Africa,ZAR,-26.2041,28.0473,2021,4,10,43,27,2,Wednesday,-0.24598194182221533,20.5341155128691,59236.07578125,60261.2599609375,0.913123923180171,1.0933865114758183,120.5341155128691
2021-10-28,61093.41015625,61354.51171875,60864.46875,60874.44140625,0.0,JSE_Top_40,^J200.JO,South Africa,Africa,Africa,ZAR,-26.2041,28.0473,2021,4,10,43,28,3,Thursday,0.3597055594131815,20.967683427358395,59225.764765625,60296.100859375,0.8070394211734888,1.0939763822839226,120.9676834273584
2021-10-29,60807.87109375,61327.87890625,60698.26171875,61093.41015625,0.0,JSE_Top_40,^J200.JO,South Africa,Africa,Africa,ZAR,-26.2041,28.0473,2021,4,10,43,29,4,Friday,-0.46738111650621583,20.402303317943904,59244.8265625,60330.35890625,0.8274346203231123,1.0269660157195517,120.4023033179439
2021-11-02,61158.140625,61484.78125,60793.6796875,60807.87109375,0.0,JSE_Top_40,^J200.JO,South Africa,Africa,Africa,ZAR,-26.2041,28.0473,2021,4,11,44,2,1,Tuesday,0.5760266310096185,21.095852649404236,59271.988984375,60365.16896484375,0.8212884787119977,1.0082969522485554,121.09585264940424
2021-11-03,61876.96875,61876.96875,60960.109375,61158.140625,0.0,JSE_Top_40,^J200.JO,South Africa,Africa,Africa,ZAR,-26.2041,28.0473,2021,4,11,44,3,2,Wednesday,1.1753596784565445,22.51916447372848,59298.28734375,60401.47716796875,0.8764046620365618,0.8865017646822613,122.51916447372848
2021-11-04,61409.9296875,62396.98046875,61409.9296875,61876.96875,0.0,JSE_Top_40,^J200.JO,South Africa,Africa,Africa,ZAR,-26.2041,28.0473,2021,4,11,44,4,3,Thursday,-0.7547865901236461,21.594406249949238,59302.88015625,60436.62892578125,0.9357359956947271,0.8831321242124219,121.59440624994924
2021-11-05,61115.7890625,61976.12890625,61043.76953125,61409.9296875,0.0,JSE_Top_40,^J200.JO,South Africa,Africa,Africa,ZAR,-26.2041,28.0473,2021,4,11,44,5,4,Friday,-0.4789789314151749,21.011994662232603,59300.953515625,60462.32626953125,0.8105361774118193,0.8635973356105017,121.01199466223261
2021-11-08,61317.75,61535.30859375,60913.671875,61115.7890625,0.0,JSE_Top_40,^J200.JO,South Africa,Africa,Africa,ZAR,-26.2041,28.0473,2021,4,11,45,8,0,Monday,0.3304562382291598,21.411886347599474,59310.210078125,60484.52701171875,0.6488434643539548,0.8431286800279663,121.41188634759948
2021-11-09,61246.69921875,61556.23046875,60991.37109375,61317.75,0.0,JSE_Top_40,^J200.JO,South Africa,Africa,Africa,ZAR,-26.2041,28.0473,2021,4,11,45,9,1,Tuesday,-0.1158731056667972,21.27120262423987,59307.28109375,60500.72935546875,0.6482177560379158,0.8451772675335688,121.27120262423988
2021-11-10,61537.828125,61748.390625,60936.05859375,61246.69921875,0.0,JSE_Top_40,^J200.JO,South Africa,Africa,Africa,ZAR,-26.2041,28.0473,2021,4,11,45,10,2,Wednesday,0.47533811611659704,21.847650874185874,59323.035859375,60516.301796875,0.5959495994955116,0.8343280520350188,121.84765087418587
2021-11-11,62381.96875,62567.25,61509.73046875,61537.828125,0.0,JSE_Top_40,^J200.JO,South Africa,Africa,Africa,ZAR,-26.2041,28.0473,2021,4,11,45,11,3,Thursday,1.371742634929074,23.51908705088661,59349.89,60534.62279296875,0.7055022470978165,0.8495230645054948,123.51908705088661
2021-11-12,63263.3984375,63310.609375,62372.421875,62381.96875,0.0,JSE_Top_40,^J200.JO,South Africa,Africa,Africa,ZAR,-26.2041,28.0473,2021,4,11,45,12,4,Friday,1.41295586715513,25.26435723842855,59402.90515625,60558.47517578125,0.7968743624547711,0.8695641864554536,125.26435723842854
2021-11-15,63480.76171875,63694.69140625,63015.26953125,63263.3984375,0.0,JSE_Top_40,^J200.JO,South Africa,Africa,Africa,ZAR,-26.2041,28.0473,2021,4,11,46,15,0,Monday,0.3435845791065706,25.694746253016753,59465.370625,60584.19068359375,0.7436553450637268,0.8322306056563024,125.69474625301676
2021-11-16,64281.44921875,64387.51953125,63480.76171875,63480.76171875,0.0,JSE_Top_40,^J200.JO,South Africa,Africa,Africa,ZAR,-26.2041,28.0473,2021,4,11,46,16,1,Tuesday,1.2613073288997745,27.280143299548044,59548.865234375,60611.91818359375,0.7884645086396891,0.8440089136860989,127.28014329954804
2021-11-17,64337.171875,64828.2109375,64175.1015625,64281.44921875,0.0,JSE_Top_40,^J200.JO,South Africa,Africa,Africa,ZAR,-26.2041,28.0473,2021,4,11,46,17,2,Wednesday,0.08668543868757261,27.390476650129436,59634.89265625,60641.37228515625,0.75981569953244,0.8442660616448905,127.39047665012944
2021-11-18,64288.71875,64501.62109375,64013.578125,64337.171875,0.0,JSE_Top_40,^J200.JO,South Africa,Africa,Africa,ZAR,-26.2041,28.0473,2021,4,11,46,18,3,Thursday,-0.07531124478729057,27.294537296423748,59713.851640625,60670.07501953125,0.6709265009556183,0.8103844229308795,127.29453729642375
2021-11-19,63870.6484375,64733.26171875,63607.33984375,64288.71875,0.0,JSE_Top_40,^J200.JO,South Africa,Africa,Africa,ZAR,-26.2041,28.0473,2021,4,11,46,19,4,Friday,-0.6503012046728651,26.46673938690236,59803.69359375,60697.63400390625,0.6991933058611447,0.7640276731489437,126.46673938690236
2021-11-22,64384.4609375,64463.05078125,63702.58984375,63870.6484375,0.0,JSE_Top_40,^J200.JO,South Africa,Africa,Africa,ZAR,-26.2041,28.0473,2021,4,11,47,22,0,Monday,0.8044579357962656,27.484111108043074,59930.971796875,60725.2675,0.7066632124548049,0.769701302517059,127.48411110804308
2021-11-23,64566.390625,64621.140625,63971.08984375,64384.4609375,0.0,JSE_Top_40,^J200.JO,South Africa,Africa,Africa,ZAR,-26.2041,28.0473,2021,4,11,47,23,1,Tuesday,0.28256769545156324,27.844340022867975,60058.784609375,60753.25259765625,0.6793186240712478,0.7413121678780824,127.84434002286798
2021-11-24,64169.171875,64814.8203125,63875.6015625,64566.390625,0.0,JSE_Top_40,^J200.JO,South Africa,Africa,Africa,ZAR,-26.2041,28.0473,2021,4,11,47,24,2,Wednesday,-0.615209780436754,27.057829139312474,60172.272421875,60777.058203125,0.7706918631091313,0.7525115255306789,127.05782913931247
2021-11-25,64062.73828125,64540.48046875,63899.4609375,64169.171875,0.0,JSE_Top_40,^J200.JO,South Africa,Africa,Africa,ZAR,-26.2041,28.0473,2021,4,11,47,25,3,Thursday,-0.16586406001518617,26.84708586533484,60291.225625,60803.769140625,0.711305966257744,0.755325163186126,126.84708586533485
2021-11-26,62410.828125,64064.30078125,62278.23046875,64062.73828125,0.0,JSE_Top_40,^J200.JO,South Africa,Africa,Africa,ZAR,-26.2041,28.0473,2021,4,11,47,26,4,Friday,-2.578581872347918,23.576229903609725,60374.843359375,60827.60107421875,1.0411725474432636,0.8808466327712619,123.57622990360973
2021-11-29,63600.609375,63874.12890625,62306.44921875,62410.828125,0.0,JSE_Top_40,^J200.JO,South Africa,Africa,Africa,ZAR,-26.2041,28.0473,2021,4,11,48,29,0,Monday,1.9063699132737533,25.932049970450155,60504.89171875,60855.18181640625,1.2218717873481415,0.9397650535641239,125.93204997045015
2021-11-30,64063.8203125,64239.6484375,63116.421875,63600.609375,0.0,JSE_Top_40,^J200.JO,South Africa,Africa,Africa,ZAR,-26.2041,28.0473,2021,4,11,48,30,1,Tuesday,0.7283121058932363,26.849228335584474,60654.063125,60888.938671875,1.172612093699489,0.9374674611296409,126.84922833558447
2021-12-01,64785.66015625,64849.1015625,64057.16015625,64063.8203125,0.0,JSE_Top_40,^J200.JO,South Africa,Africa,Africa,ZAR,-26.2041,28.0473,2021,4,12,48,1,2,Wednesday,1.1267511681771536,28.278503497679374,60844.854921875,60924.51498046875,1.22866892354392,0.9507034314537702,128.27850349767937
2021-12-02,64555.25,65099.578125,64191.76953125,64785.66015625,0.0,JSE_Top_40,^J200.JO,South Africa,Africa,Africa,ZAR,-26.2041,28.0473,2021,4,12,48,2,3,Thursday,-0.35564993193600847,27.822281087301338,61014.24734375,60959.3655859375,1.2356910976370306,0.9571000970174711,127.82228108730133
2021-12-03,64306.6796875,65113.69921875,64306.6796875,64555.25,0.0,JSE_Top_40,^J200.JO,South Africa,Africa,Africa,ZAR,-26.2041,28.0473,2021,4,12,48,3,4,Friday,-0.3850504993784365,27.33010075565776,61161.614765625,60991.75623046875,1.221798013427826,0.9178240397670137,127.33010075565775
2021-12-06,64598.4609375,64849.078125,64181.640625,64306.6796875,0.0,JSE_Top_40,^J200.JO,South Africa,Africa,Africa,ZAR,-26.2041,28.0473,2021,4,12,49,6,0,Monday,0.45373396887837814,27.907840675393246,61300.733203125,61022.27984375,1.2034215199462668,0.8799741129587888,127.90784067539325
2021-12-07,66513.4609375,66537.5,64598.4609375,64598.4609375,0.0,JSE_Top_40,^J200.JO,South Africa,Africa,Africa,ZAR,-26.2041,28.0473,2021,4,12,49,7,1,Tuesday,2.9644669117624867,31.69962628976515,61475.31703125,61060.4603515625,1.5205929213058194,1.0092604689444211,131.69962628976515
2021-12-08,65992.7109375,66697.5,65798.046875,66513.4609375,0.0,JSE_Top_40,^J200.JO,South Africa,Africa,Africa,ZAR,-26.2041,28.0473,2021,4,12,49,8,2,Wednesday,-0.7829242271565562,30.66851800846795,61645.927421875,61092.18419921875,1.5327820685692837,1.021553084940206,130.66851800846794
2021-12-09,65779.5,66216.9609375,65484.890625,65992.7109375,0.0,JSE_Top_40,^J200.JO,South Africa,Africa,Africa,ZAR,-26.2041,28.0473,2021,4,12,49,9,3,Thursday,-0.3230825563476647,30.246350820144574,61801.070859375,61122.7628515625,1.5387851571999962,1.022982215791144,130.24635082014458
2021-12-10,65390.3203125,65957.2890625,65318.859375,65779.5,0.0,JSE_Top_40,^J200.JO,South Africa,Africa,Africa,ZAR,-26.2041,28.0473,2021,4,12,49,10,4,Friday,-0.591642818051219,29.475757639743392,61951.609296875,61146.52595703125,1.225758667070845,1.0345830458544178,129.4757576397434
2021-12-13,65177.01953125,66125.90625,65086.75,65390.3203125,0.0,JSE_Top_40,^J200.JO,South Africa,Africa,Africa,ZAR,-26.2041,28.0473,2021,4,12,50,13,0,Monday,-0.32619626304113414,29.05341255677836,62109.837265625,61170.30880859375,1.1359346345404888,1.0316088853584107,129.05341255677837
