date,open,high,low,exchange_rate,volume,dividends,stock splits,base_currency,quote_currency,pair,year,month,monthly_pct_change,yoy_pct_change,quarterly_volatility,annual_volatility,significant_move,ma_12_month,quarter,year_quarter
2016-02-01 00:00:00+00:00,2156.300048828125,2163.10009765625,2102.5,2161.89990234375,0,0.0,0.0,USD,TZS,USD/TZS,2016,2,1.1036736181416096,21.69433731177879,24.001111899305414,107.34925737315598,False,2055.183308919271,1,2016-Q1
2016-03-01 00:00:00+00:00,2145.0,2149.0,2100.199951171875,2140.5,0,0.0,0.0,USD,TZS,USD/TZS,2016,3,-0.9898655493045694,18.423236514522824,13.0367985042314,75.95073756540212,False,2082.933308919271,1,2016-Q1
2016-04-01 00:00:00+01:00,2142.60009765625,2164.39990234375,2132.300048828125,2132.300048828125,0,0.0,0.0,USD,TZS,USD/TZS,2016,4,-0.38308578238145374,9.918038145918162,15.282595480314544,62.04646376318896,False,2098.9666442871094,2,2016-Q2
2016-05-01 00:00:00+01:00,2129.10009765625,2159.5,2129.10009765625,2146.10009765625,0,0.0,0.0,USD,TZS,USD/TZS,2016,5,0.647190757028282,4.912989991678374,6.940720911635269,60.96144226569118,False,2107.3416544596353,2,2016-Q2
2016-06-01 00:00:00+01:00,2149.199951171875,2163.800048828125,2106.39990234375,2140.0,0,0.0,0.0,USD,TZS,USD/TZS,2016,6,-0.28424105953454015,10.811933207714851,6.915463193978678,25.737871055820587,False,2124.741658528646,2,2016-Q2
2016-07-01 00:00:00+01:00,2152.39990234375,2166.699951171875,2127.800048828125,2129.89990234375,0,0.0,0.0,USD,TZS,USD/TZS,2016,7,-0.47196718019859585,3.092928477432233,8.181987250913659,17.89508983935573,False,2130.066650390625,3,2016-Q3
2016-08-01 00:00:00+01:00,2130.800048828125,2162.300048828125,2130.800048828125,2143.89990234375,0,0.0,0.0,USD,TZS,USD/TZS,2016,8,0.6573078849665404,2.2999452352385985,7.2252013923088905,14.58287459899567,False,2134.0833129882812,3,2016-Q3
2016-09-01 00:00:00+01:00,2136.199951171875,2148.39990234375,2122.199951171875,2136.699951171875,0,0.0,0.0,USD,TZS,USD/TZS,2016,9,-0.3358342973010964,1.0785775051527224,7.000951851263125,13.126721850212583,False,2135.9833170572915,3,2016-Q3
2016-10-01 00:00:00+01:00,2125.39990234375,2147.300048828125,2125.39990234375,2124.199951171875,0,0.0,0.0,USD,TZS,USD/TZS,2016,10,-0.5850142877171116,-0.46390263021156564,9.96809387539058,13.559808749112118,False,2135.1583048502603,4,2016-Q4
2016-11-01 00:00:00+00:00,2135.89990234375,2162.0,2118.699951171875,2121.39990234375,0,0.0,0.0,USD,TZS,USD/TZS,2016,11,-0.13181663179024916,0.3405520451310373,8.146387415933058,12.678807140815312,False,2135.75830078125,4,2016-Q4
2016-12-01 00:00:00+00:00,2143.699951171875,2167.300048828125,2112.699951171875,2124.89990234375,0,0.0,0.0,USD,TZS,USD/TZS,2016,12,0.1649853946035007,0.5203652257991909,1.8520351455821749,11.274692322734223,False,2136.6749674479165,4,2016-Q4
2017-01-01 00:00:00+00:00,2139.89990234375,2212.89990234375,2117.0,2180.39990234375,0,0.0,0.0,USD,TZS,USD/TZS,2017,1,2.611887738278118,1.9688468668696668,33.09959717781046,16.9486786648961,False,2140.1832885742188,1,2017-Q1
2017-02-01 00:00:00+00:00,2179.300048828125,2199.5,2172.60009765625,2188.0,0,0.0,0.0,USD,TZS,USD/TZS,2017,2,0.3485643917008341,1.20727595333876,34.447142621250734,21.144295268681063,False,2142.3582967122397,1,2017-Q1
2017-03-01 00:00:00+00:00,2196.0,2196.300048828125,2165.0,2197.800048828125,0,0.0,0.0,USD,TZS,USD/TZS,2017,3,0.44789985503312923,2.6769469202581275,8.723221300030378,26.482618813101663,False,2147.13330078125,1,2017-Q1
2017-04-01 00:00:00+01:00,2190.800048828125,2233.199951171875,2155.699951171875,2197.800048828125,0,0.0,0.0,USD,TZS,USD/TZS,2017,4,0.0,3.0718003329783583,5.658060828988729,29.701841467258472,False,2152.5916341145835,2,2017-Q2
2017-05-01 00:00:00+01:00,2195.800048828125,2233.699951171875,2178.800048828125,2185.10009765625,0,0.0,0.0,USD,TZS,USD/TZS,2017,5,-0.5778483433307113,1.817249812466426,7.332320227776698,31.030927985798083,False,2155.8416341145835,2,2017-Q2
2017-06-01 00:00:00+01:00,2187.39990234375,2240.0,2178.10009765625,2187.699951171875,0,0.0,0.0,USD,TZS,USD/TZS,2017,6,0.11898098024953896,2.2289696809287385,6.708948883599052,31.861192254618768,False,2159.8166300455728,2,2017-Q2
2017-07-01 00:00:00+01:00,2190.199951171875,2240.10009765625,2172.39990234375,2183.39990234375,0,0.0,0.0,USD,TZS,USD/TZS,2017,7,-0.1965556942953528,2.5118551318364046,2.1656531858227974,31.02657305852384,False,2164.2749633789062,3,2017-Q3
2017-08-01 00:00:00+01:00,2179.89990234375,2242.699951171875,2172.0,2210.60009765625,0,0.0,0.0,USD,TZS,USD/TZS,2017,8,1.2457724891945965,3.1111618242802397,14.621660610023063,32.959013862098615,False,2169.8333129882812,3,2017-Q3
2017-09-01 00:00:00+01:00,2189.699951171875,2244.60009765625,2187.699951171875,2200.89990234375,0,0.0,0.0,USD,TZS,USD/TZS,2017,9,-0.4388037131991651,3.0046310965030187,13.785224058986447,32.29566024007664,False,2175.183308919271,3,2017-Q3
